country,region,year,water_source_type,contaminant_level,ph,turbidity,dissolved_oxygen,nitrate,lead,bacteria_count,water_treatment_method,clean_water_access,diarrheal_cases,cholera_cases,typhoid_cases,infant_mortality_rate,gdp_per_capita,healthcare_access,urbanization,sanitation_coverage,rainfall,temperature,population_density,total_disease_cases,risk_level
Bangladesh,East,2021,Tap,1.05,7.58,0.15,7.4,22.79,3.99,18,Filtration,69.46,47,3,10,34.71,2977,58.71,33.87,67.09,2006,26.29,1558,60,Medium
Nigeria,South,2016,Well,1.18,7.18,1.36,8.27,13.19,5.21,118,Chlorination,59.29,58,0,6,71.67,2753,56.79,59.75,51.8,1129,26.51,271,64,Medium
India,North,2021,Spring,2.33,6.9,3.38,7.0,18.98,5.25,425,None,77.48,86,8,12,46.24,2175,51.86,42.74,61.94,1097,24.93,276,106,Medium
China,North,2017,Lake,3.07,7.1,3.66,8.39,18.34,5.64,268,None,93.63,93,3,4,11.35,13262,70.87,60.42,92.19,1422,14.52,162,100,Medium
Pakistan,East,2024,Pond,2.83,7.61,4.85,6.0,17.82,2.96,362,Boiling,73.14,111,4,14,64.36,1885,57.16,31.99,63.06,393,24.11,387,129,High
Mexico,South,2017,Well,1.8,6.68,1.67,7.89,10.77,5.98,125,Boiling,86.45,49,3,4,17.64,10275,70.03,78.73,89.81,749,21.43,49,56,Low
Mexico,North,2022,Lake,1.76,7.14,1.73,8.42,9.37,3.11,252,Filtration,90.79,33,0,4,22.16,10351,74.44,78.71,91.78,608,20.11,57,37,Low
Bangladesh,North,2016,Lake,2.63,6.87,2.85,6.38,21.07,6.51,461,Boiling,72.31,137,6,8,38.78,3315,52.79,42.78,73.1,1665,26.84,1663,151,High
Indonesia,West,2011,Well,1.29,7.41,1.83,8.23,18.83,2.42,82,Chlorination,83.29,61,0,3,27.23,5119,66.44,59.31,76.65,1986,26.8,108,64,Medium
Brazil,West,2022,Spring,0.91,7.1,1.17,8.17,6.61,3.96,7,Chlorination,91.12,24,1,4,18.99,10268,75.24,88.33,83.24,1207,24.36,21,29,Low
Indonesia,North,2020,River,3.02,7.22,2.29,7.22,24.49,6.8,562,Chlorination,71.7,143,4,13,34.93,4609,53.3,61.96,80.12,2502,24.06,209,160,High
Brazil,East,2023,Lake,1.44,7.24,1.13,7.26,17.88,3.28,182,Filtration,88.28,66,2,4,20.32,9820,75.27,87.48,82.25,1663,24.71,29,72,Medium
Indonesia,Central,2003,Lake,2.7,7.42,2.1,6.6,23.03,5.05,207,Chlorination,78.87,109,2,8,32.61,4555,59.77,64.97,73.02,2938,27.04,127,119,Medium
Pakistan,Central,2011,Spring,0.77,7.48,1.48,8.82,14.29,4.0,63,Filtration,73.89,58,5,3,63.42,1988,59.85,40.44,64.41,505,25.0,254,66,Medium
China,North,2022,Spring,0.42,6.77,0.46,9.03,10.11,1.2,6,Filtration,93.15,19,0,1,14.07,13036,82.6,69.93,83.83,1219,16.02,137,20,Low
China,North,2021,Tap,0.6,7.65,2.01,9.16,10.08,1.14,3,Chlorination,93.32,17,0,2,4.91,13372,78.94,65.94,90.11,1215,12.5,185,19,Low
India,North,2020,Spring,1.0,7.17,0.15,8.27,15.1,0.44,45,Chlorination,80.06,48,0,2,36.43,3000,58.75,41.38,70.17,1144,26.53,513,50,Low
Ethiopia,East,2019,Lake,1.96,6.93,2.18,7.61,18.64,5.67,179,Filtration,51.28,149,8,11,61.01,1258,40.42,27.07,40.87,962,18.18,103,168,High
China,West,2014,Well,0.47,6.84,0.15,8.74,12.8,0.58,3,Chlorination,91.07,10,0,0,5.74,12642,75.68,66.45,91.98,1030,12.03,164,10,Low
China,North,2022,River,1.7,6.97,3.24,7.73,16.85,4.09,330,Boiling,84.01,80,1,3,13.83,13241,85.71,62.27,87.15,1179,12.31,155,84,Medium
Nigeria,North,2015,Tap,1.88,6.64,1.46,7.06,12.43,9.8,171,Filtration,70.04,89,4,6,79.77,2468,45.46,62.99,48.52,1522,28.64,307,99,Medium
Nigeria,South,2004,Well,2.56,6.71,4.93,6.83,21.45,6.94,781,None,63.06,174,5,13,77.41,2334,51.91,47.85,51.28,1170,25.95,192,192,High
India,East,2020,River,1.98,7.48,4.83,7.68,20.46,4.44,355,Filtration,74.15,138,4,16,39.37,2773,56.09,41.17,78.85,1240,24.63,298,158,High
Ethiopia,North,2014,River,2.0,7.74,3.58,6.98,19.07,8.68,534,Chlorination,58.51,147,2,21,65.99,1223,45.43,22.35,42.56,880,18.48,134,170,High
Bangladesh,South,2016,River,2.72,7.05,5.75,6.57,29.57,8.06,839,Chlorination,70.94,181,14,25,39.68,2713,67.32,43.37,66.6,2217,24.43,1138,220,High
Nigeria,Central,2017,Pond,2.77,7.26,5.16,5.91,23.72,6.19,836,Filtration,63.47,154,6,26,74.03,2860,51.34,56.32,52.54,1127,23.11,306,186,High
Bangladesh,North,2004,Well,2.93,7.32,3.0,7.35,27.1,5.08,347,Filtration,70.15,156,5,17,31.15,2481,57.88,46.2,72.31,3600,28.19,1340,178,High
USA,North,2012,Tap,0.97,7.1,0.33,9.09,6.27,1.84,7,None,86.97,13,1,2,7.99,43037,88.7,80.7,91.94,745,11.73,35,16,Low
Nigeria,South,2018,Tap,2.28,7.42,2.12,7.63,21.03,4.55,344,None,70.42,124,7,12,70.18,2394,41.3,55.21,50.04,1095,29.99,237,143,High
Pakistan,East,2012,River,2.18,7.08,2.28,7.1,18.24,3.44,201,Filtration,62.35,113,4,8,75.25,1651,56.41,38.78,67.94,716,25.98,314,125,High
Ethiopia,North,2017,Well,1.69,7.14,2.4,8.16,12.31,4.19,189,Chlorination,55.52,94,0,13,65.49,1375,44.49,25.0,39.58,703,17.27,175,107,Medium
India,Central,2013,Pond,3.39,6.68,5.09,5.52,19.19,7.47,941,Filtration,74.88,107,5,19,38.84,2620,60.11,43.07,69.57,1365,24.25,520,131,High
USA,North,2003,River,1.7,7.38,1.75,7.64,15.34,4.84,142,Boiling,89.11,57,1,1,12.27,52008,87.98,91.08,98.58,875,12.95,55,59,Low
Ethiopia,Central,2003,Spring,1.28,6.9,0.15,8.48,15.59,4.42,29,Boiling,61.65,41,1,4,57.46,1373,47.34,26.52,53.0,922,20.53,162,46,Low
Pakistan,West,2019,Tap,0.34,7.53,0.43,7.59,6.54,0.88,3,Chlorination,69.39,19,1,3,67.29,1867,55.12,36.7,70.6,545,23.12,175,23,Low
Ethiopia,West,2019,Lake,2.42,6.63,1.28,7.74,15.73,4.79,257,Filtration,56.13,110,1,12,67.11,1231,37.18,32.83,43.75,877,17.47,98,123,Medium
Pakistan,Central,2018,River,2.08,7.29,3.45,6.9,13.32,6.16,430,Filtration,74.62,106,5,9,68.57,1780,52.43,44.83,69.89,574,22.78,273,120,Medium
Pakistan,East,2012,Spring,1.36,7.01,0.15,8.47,14.64,7.09,52,Boiling,70.61,41,1,5,65.82,1555,51.99,30.73,60.41,466,24.52,339,47,Low
Bangladesh,North,2011,Tap,1.19,6.74,0.15,8.02,16.4,4.3,3,Filtration,70.24,26,0,1,34.53,2568,58.4,42.88,64.04,2005,23.67,1182,27,Low
Indonesia,North,2006,Pond,2.73,6.73,4.95,7.04,21.25,6.55,386,Chlorination,76.3,127,10,10,34.13,5080,64.55,61.79,75.97,2127,25.36,220,147,High
USA,West,2024,Well,0.59,7.05,0.96,8.4,7.72,0.05,3,Chlorination,99.7,15,0,1,10.4,51612,83.3,81.82,95.08,665,10.31,31,16,Low
Ethiopia,Central,2011,Tap,1.29,6.82,1.81,8.76,8.38,2.31,90,None,49.31,48,1,5,55.62,1223,44.84,22.91,46.37,730,15.04,123,54,Low
Brazil,North,2020,Well,1.51,7.46,1.62,7.1,16.26,3.57,117,Chlorination,98.33,36,2,2,12.34,9871,82.37,89.14,78.87,1963,22.87,29,40,Low
USA,North,2003,Well,0.53,7.16,1.43,8.05,9.53,1.19,6,Filtration,98.89,17,0,2,8.52,54080,87.02,88.72,93.82,956,14.88,31,19,Low
Indonesia,East,2001,Pond,2.82,7.43,4.43,6.38,21.06,5.01,561,Filtration,76.89,132,10,11,31.65,4565,59.56,56.8,75.16,2050,27.25,110,153,High
USA,South,2001,Pond,2.2,6.72,3.28,8.29,13.28,4.36,875,Boiling,98.29,79,4,9,10.4,49652,87.4,76.27,87.66,814,12.2,53,92,Medium
China,West,2004,River,1.71,6.58,1.22,8.25,18.27,3.19,208,Boiling,99.11,44,0,1,7.8,13108,82.5,65.33,88.82,1155,14.13,150,45,Low
Brazil,West,2022,River,1.9,6.78,3.49,7.82,15.61,3.5,253,Chlorination,90.95,79,4,6,20.83,10614,67.61,90.48,79.83,1647,20.79,33,89,Medium
Indonesia,South,2009,Tap,2.34,6.76,1.06,7.33,24.1,3.65,160,None,83.8,61,3,5,30.42,4595,66.91,57.81,78.17,2291,24.68,193,69,Medium
Bangladesh,North,2009,Pond,3.27,6.18,5.42,6.91,29.78,7.97,775,Filtration,77.43,220,6,18,32.04,2583,53.6,48.16,69.06,2402,27.06,1207,244,High
Ethiopia,East,2008,Spring,2.11,6.22,0.83,7.91,17.97,7.23,119,None,53.17,111,3,7,62.51,1405,40.14,24.44,41.48,1195,16.41,154,121,Medium
Mexico,East,2012,Tap,0.27,7.91,1.86,8.74,10.37,0.05,3,Filtration,96.35,13,0,1,19.58,11585,69.2,83.46,85.43,600,17.57,72,14,Low
Indonesia,West,2006,Lake,2.77,6.72,2.42,7.96,20.55,1.46,251,Chlorination,90.21,53,2,14,30.48,4986,69.06,66.75,82.44,2182,26.23,234,69,Medium
India,East,2004,Well,2.13,7.12,2.06,7.9,17.7,5.43,209,Chlorination,72.74,73,2,9,40.1,2403,57.64,36.6,77.28,1409,28.82,312,84,Medium
Ethiopia,South,2009,Well,1.28,6.84,2.32,7.91,16.51,3.25,207,Boiling,54.41,143,6,15,60.33,1202,42.15,24.77,40.0,717,18.29,102,164,High
Indonesia,North,2009,River,3.95,7.65,6.78,6.55,29.04,8.97,1412,None,85.5,252,10,28,32.83,4220,66.48,54.4,64.34,2693,22.64,213,290,High
China,South,2005,Spring,0.96,7.71,0.15,8.7,11.61,1.91,22,Boiling,84.04,30,0,3,16.28,11280,70.33,63.16,81.56,1036,16.85,231,33,Low
Mexico,Central,2018,Pond,2.59,7.26,4.22,6.3,15.7,4.37,848,Chlorination,90.33,98,7,8,21.09,11228,78.9,84.66,99.5,735,22.72,51,113,Medium
China,West,2020,Pond,2.74,6.46,4.23,6.9,18.67,4.55,419,None,93.05,100,2,10,12.96,11441,75.01,62.69,90.66,939,14.47,158,112,Medium
Mexico,East,2007,River,2.07,6.2,4.05,6.59,14.84,3.25,498,Filtration,92.34,97,3,13,24.42,9556,65.47,81.32,82.84,706,26.08,65,113,Medium
India,Central,2000,Lake,1.65,7.65,2.66,6.88,12.14,5.66,185,Boiling,86.22,74,4,3,38.73,2262,67.66,34.48,71.32,1039,21.6,385,81,Medium
Ethiopia,East,2016,Tap,0.47,7.6,0.15,9.27,10.58,1.45,3,Chlorination,49.78,20,0,3,58.56,1285,56.62,23.96,41.94,581,17.76,115,23,Low
Bangladesh,North,2006,Tap,2.29,7.71,1.06,7.76,23.67,3.5,43,Filtration,63.95,72,4,3,41.57,2615,60.86,35.9,67.15,2634,24.46,1184,79,Medium
China,North,2013,Spring,0.33,6.76,0.54,10.26,11.07,3.38,3,Chlorination,92.48,14,0,0,11.06,12028,70.68,71.05,84.71,804,9.83,197,14,Low
China,North,2020,River,1.37,6.44,0.54,8.2,11.66,5.24,81,Filtration,86.23,49,0,1,14.04,11005,71.25,67.08,87.26,688,16.1,186,50,Low
Pakistan,East,2020,River,1.95,6.72,2.79,6.64,13.53,5.8,482,Boiling,68.35,97,4,4,70.78,1880,48.08,35.93,65.49,584,24.78,324,105,Medium
Mexico,Central,2016,Lake,1.32,6.67,1.47,7.79,14.39,3.35,144,Filtration,84.64,51,1,5,20.82,10897,80.59,81.8,81.29,817,22.44,121,57,Low
Nigeria,North,2008,Tap,1.5,7.03,2.67,8.22,19.35,3.11,234,None,62.99,97,4,4,72.69,2148,42.91,58.24,48.32,1669,28.67,157,105,Medium
Ethiopia,Central,2016,River,2.38,6.78,1.97,7.1,19.89,7.12,289,Filtration,51.7,142,6,16,58.38,1122,35.55,28.04,39.99,809,18.98,128,164,High
Mexico,East,2004,Pond,2.6,6.47,2.22,7.5,16.65,3.53,549,Chlorination,93.02,85,0,5,16.82,9288,68.9,81.48,91.04,755,19.34,78,90,Medium
Pakistan,Central,2024,Spring,1.07,6.83,0.15,7.59,13.28,3.16,34,Filtration,73.07,28,3,2,72.65,1668,46.56,42.96,63.8,316,23.0,296,33,Low
USA,East,2019,Tap,0.53,6.14,0.15,9.19,10.29,2.06,3,Boiling,99.7,15,0,1,8.69,50262,80.77,80.26,89.98,1135,12.95,33,16,Low
Mexico,East,2007,Lake,1.31,6.76,1.7,6.98,13.25,2.55,114,Chlorination,99.13,49,2,2,11.71,10948,71.46,78.98,89.01,860,24.02,68,53,Low
Bangladesh,West,2005,Spring,1.56,7.1,0.15,7.26,23.87,3.69,170,Chlorination,72.23,77,1,3,39.46,2852,58.58,43.33,60.2,2235,23.55,1419,81,Medium
Ethiopia,East,2010,Well,1.79,7.34,0.15,7.47,9.65,5.62,96,Chlorination,50.71,79,1,4,63.12,1203,42.3,24.74,45.47,841,21.01,124,84,Medium
Pakistan,East,2018,Pond,1.67,6.86,3.23,7.83,12.7,5.78,198,Chlorination,68.27,91,4,6,68.43,1620,47.27,37.02,72.69,592,25.56,466,101,Medium
USA,South,2003,Lake,2.27,7.33,4.57,7.88,19.1,6.22,592,None,92.79,84,5,7,13.46,53682,79.68,80.8,88.24,1215,13.67,45,96,Medium
Brazil,North,2017,Spring,0.79,7.07,1.86,7.76,14.51,1.12,109,Chlorination,89.34,59,0,4,19.2,8693,65.69,82.78,78.23,1628,23.54,40,63,Medium
Pakistan,West,2000,River,2.93,6.34,4.33,6.05,19.66,7.22,384,Chlorination,68.88,125,4,22,67.28,1723,50.27,34.93,69.92,484,23.13,309,151,High
Brazil,West,2012,Well,0.32,7.4,1.77,6.57,13.1,1.39,71,Chlorination,97.96,32,2,5,18.23,8302,73.35,86.51,74.16,2148,25.41,29,39,Low
Ethiopia,West,2013,Lake,1.66,6.92,3.35,6.97,13.06,4.52,378,Boiling,56.17,133,2,10,55.69,1292,39.24,20.16,43.33,548,18.11,93,145,High
China,South,2023,River,1.59,7.05,2.85,7.07,17.0,4.83,228,Boiling,96.0,83,2,6,10.45,15249,82.69,65.23,85.96,912,15.72,173,91,Medium
Pakistan,East,2000,Pond,2.6,6.86,4.02,6.97,18.09,5.57,639,Chlorination,63.15,138,6,6,76.96,1389,46.2,36.79,64.36,520,20.36,286,150,High
India,North,2010,Well,2.61,6.64,1.85,6.97,20.29,4.25,128,None,81.5,76,2,5,35.19,2463,54.24,40.37,74.13,915,23.6,409,83,Medium
Brazil,Central,2016,Tap,0.78,6.84,0.44,8.17,15.38,2.61,5,Filtration,91.16,25,0,1,19.52,8532,76.03,80.08,82.99,1919,20.46,23,26,Low
Bangladesh,East,2003,River,3.41,7.58,7.3,5.49,31.17,6.7,757,None,73.21,238,8,26,37.83,3179,56.17,41.12,68.45,2137,25.83,937,272,High
India,South,2011,Spring,1.25,7.48,0.4,7.9,16.22,1.55,37,Chlorination,72.11,35,0,1,35.14,2707,70.5,37.94,77.85,1064,21.9,489,36,Low
Indonesia,East,2009,Lake,2.15,7.25,2.04,7.64,23.51,4.21,195,Chlorination,77.48,57,3,5,32.16,4870,71.81,55.39,75.14,2314,22.8,147,65,Medium
Indonesia,East,2005,Well,2.75,7.03,6.32,5.65,28.6,5.56,843,None,78.53,143,6,13,34.08,4647,61.39,55.5,66.55,2712,27.29,182,162,High
USA,South,2024,River,1.49,7.22,1.79,8.45,12.35,2.54,344,Chlorination,95.59,62,0,1,10.7,54839,94.63,81.07,93.43,855,19.21,47,63,Medium
China,West,2000,Tap,0.86,7.18,0.88,8.18,11.89,0.05,3,Filtration,86.34,22,2,0,8.72,11299,65.74,63.27,91.87,1044,13.32,166,24,Low
Ethiopia,West,2006,Lake,1.87,7.39,3.56,7.55,15.73,5.61,153,Boiling,52.79,115,1,12,67.76,1087,41.96,25.69,38.11,1261,15.6,116,128,High
Pakistan,North,2020,Lake,1.34,6.85,2.2,7.62,14.97,5.18,178,Filtration,69.29,87,0,5,69.8,1908,58.6,36.93,72.06,439,20.72,240,92,Medium
Nigeria,North,2015,River,2.65,6.9,5.33,6.81,16.3,8.36,416,Filtration,59.63,119,7,12,83.1,1961,42.82,49.01,53.42,1198,25.4,136,138,High
Bangladesh,West,2023,Tap,0.96,6.93,0.15,8.31,17.52,5.61,8,Filtration,70.55,36,1,1,38.28,2545,53.61,31.85,74.36,1805,24.04,1605,38,Low
Brazil,Central,2013,Pond,2.64,7.5,3.99,5.59,20.57,7.97,1446,None,90.66,116,2,17,23.41,8494,70.5,85.96,80.51,1974,20.33,36,135,High
Ethiopia,East,2022,Pond,3.52,6.66,9.01,5.38,24.4,7.5,979,None,56.55,352,13,14,68.26,1314,45.33,22.98,47.51,876,17.84,124,379,High
India,Central,2019,Well,1.64,6.58,2.28,7.04,15.75,4.73,77,Filtration,83.31,86,0,4,42.45,2874,56.21,36.51,73.65,1356,26.8,303,90,Medium
Indonesia,East,2019,River,3.64,7.14,6.63,4.92,23.98,7.1,1040,None,76.52,224,7,21,34.65,4481,67.04,56.4,76.84,1797,24.47,143,252,High
Bangladesh,West,2005,Well,2.33,7.79,2.07,6.54,23.89,2.8,375,Chlorination,72.87,77,2,6,34.39,2238,59.56,37.14,67.82,2261,24.05,1011,85,Medium
Nigeria,North,2021,Pond,2.81,7.72,5.06,5.96,18.14,7.21,1688,Boiling,63.97,200,14,18,78.87,2679,54.42,57.28,47.92,759,23.73,270,232,High
Pakistan,North,2024,Lake,2.48,7.17,5.31,5.7,21.69,5.16,553,None,74.7,130,9,16,63.78,2044,53.63,48.13,76.24,422,27.64,163,155,High
USA,Central,2004,Well,1.62,7.03,2.69,7.37,12.04,2.22,140,None,94.81,41,5,4,16.58,50688,82.68,84.51,88.27,926,10.51,34,50,Low
Nigeria,North,2023,Tap,1.46,7.24,0.15,8.24,16.4,4.12,45,Filtration,57.88,41,3,6,74.51,2083,47.91,54.83,51.86,1017,25.61,247,50,Low
Bangladesh,West,2020,Spring,2.33,7.44,1.81,6.99,25.72,4.31,242,Boiling,75.29,72,3,8,37.14,3300,57.05,39.94,73.81,2611,28.6,1006,83,Medium
Nigeria,Central,2017,Pond,2.26,6.44,3.2,6.78,16.61,4.7,431,Chlorination,67.15,128,3,9,74.47,2472,54.05,64.89,49.78,1150,22.97,220,140,High
Bangladesh,East,2014,Pond,2.68,6.76,4.89,7.31,27.59,7.72,872,Chlorination,66.43,161,8,17,36.43,3145,63.63,40.8,78.06,2631,23.64,1700,186,High
Bangladesh,North,2005,Tap,1.44,6.56,2.37,7.51,28.21,1.62,113,Boiling,68.43,67,3,3,37.0,2561,53.72,39.77,59.74,2640,27.07,1143,73,Medium
Mexico,South,2024,Well,1.25,6.74,0.15,7.67,11.76,2.62,25,Chlorination,95.81,18,1,0,21.13,10793,73.35,81.7,87.04,971,21.42,65,19,Low
Brazil,North,2018,River,1.95,7.1,2.88,6.37,15.52,4.87,288,Boiling,81.93,46,2,11,21.91,9283,78.95,88.92,86.44,1972,23.51,24,59,Low
Indonesia,East,2000,Lake,2.73,7.46,2.0,6.37,21.39,4.8,349,Filtration,81.87,105,3,11,25.93,4823,67.44,62.9,76.99,2297,28.06,140,119,Medium
Mexico,Central,2000,Spring,0.83,7.12,0.15,8.51,4.74,4.05,3,Chlorination,87.99,16,0,2,16.32,10793,73.12,86.92,89.3,682,18.99,73,18,Low
Pakistan,East,2012,River,3.04,7.01,2.28,6.55,17.15,2.45,302,Chlorination,64.45,125,1,9,70.43,1757,49.36,38.08,72.34,468,22.56,243,135,High
Mexico,South,2002,River,1.42,7.33,1.42,7.24,12.33,3.89,197,Boiling,87.75,51,1,5,15.66,9275,72.58,81.22,84.56,616,21.71,49,57,Low
China,West,2009,Tap,0.83,6.5,0.15,9.36,8.27,2.33,3,Chlorination,96.17,14,0,0,16.28,12065,63.36,61.97,81.23,882,12.38,210,14,Low
China,North,2020,Well,2.77,7.27,2.72,8.58,23.12,4.47,238,None,94.9,97,0,3,19.67,11906,74.26,73.12,88.82,1399,16.19,242,100,Medium
Indonesia,Central,2002,Pond,3.31,6.73,6.73,5.7,27.04,7.2,640,Filtration,81.79,153,2,16,28.95,4213,64.63,60.09,82.37,3166,23.21,127,171,High
Nigeria,West,2008,Pond,2.6,7.69,4.06,6.68,13.37,9.04,456,Chlorination,60.94,146,7,11,74.11,2564,42.54,55.15,54.93,881,26.01,140,164,High
Brazil,East,2007,Tap,1.21,7.5,0.15,8.06,17.7,2.72,3,Chlorination,82.71,20,0,1,15.34,7894,63.63,86.45,85.61,2259,21.02,29,21,Low
Indonesia,Central,2002,Well,1.73,7.51,1.12,7.52,21.78,4.37,160,Chlorination,80.89,79,1,7,23.84,4547,60.25,57.92,69.69,2355,22.82,159,87,Medium
Bangladesh,West,2024,Tap,1.59,6.85,1.42,8.16,19.38,5.6,92,Boiling,77.54,77,2,5,30.52,3072,59.14,40.18,75.4,2011,26.67,1007,84,Medium
India,Central,2012,Pond,3.05,7.05,5.75,5.41,24.24,6.09,1106,Filtration,76.79,152,14,15,31.37,2921,51.72,31.09,76.68,1686,22.6,706,181,High
Brazil,South,2005,River,2.01,6.91,1.97,7.56,17.61,2.86,288,Filtration,81.17,70,0,10,27.33,7425,68.27,87.91,72.73,1753,23.4,23,80,Medium
Brazil,South,2012,Lake,1.41,6.72,1.4,7.46,12.36,4.28,99,Chlorination,82.44,69,2,7,19.77,8348,61.84,85.56,83.71,1325,25.98,21,78,Medium
Bangladesh,North,2022,Well,2.04,7.48,3.63,7.36,20.99,5.59,232,Chlorination,83.95,109,4,8,32.91,3387,60.03,43.51,68.37,1965,24.75,1684,121,Medium
Bangladesh,North,2019,Spring,1.35,6.61,0.59,8.4,20.66,3.93,35,Boiling,63.61,63,1,4,39.17,2665,52.56,36.35,73.96,1867,24.61,1700,68,Medium
USA,South,2019,Spring,0.02,7.22,0.95,9.64,12.52,0.05,3,Filtration,99.37,11,0,2,2.0,51962,91.34,88.6,99.5,848,13.71,42,13,Low
Indonesia,Central,2011,River,3.88,6.34,6.28,4.74,30.14,6.37,1061,None,80.07,200,17,16,34.42,4860,63.55,59.53,81.73,2231,25.91,118,233,High
Bangladesh,South,2012,Tap,1.6,7.41,1.82,8.0,17.47,1.76,21,Chlorination,75.12,40,2,1,39.69,2520,51.7,34.03,59.86,1944,26.76,1615,43,Low
China,North,2001,Tap,0.78,7.6,1.71,9.08,13.11,2.99,84,None,90.34,35,2,2,9.32,11805,79.49,66.79,83.01,1268,11.98,179,39,Low
Pakistan,South,2020,Pond,4.46,7.38,9.16,5.52,26.66,9.55,1291,None,72.93,200,14,37,72.22,1841,50.5,39.79,71.35,586,24.82,472,251,High
India,South,2023,River,2.22,7.48,4.41,6.9,20.75,2.2,697,Filtration,74.0,116,4,8,41.74,2664,54.75,33.08,78.23,859,25.01,577,128,High
Indonesia,Central,2022,Pond,3.88,7.12,10.86,5.05,25.92,7.58,1831,None,81.84,224,27,34,33.44,5372,60.52,46.92,83.18,2299,23.37,159,285,High
Ethiopia,West,2015,Pond,3.1,7.33,4.72,7.22,18.63,10.21,605,Chlorination,55.18,219,7,32,65.95,1315,48.48,28.31,40.23,728,16.66,131,258,High
China,North,2022,Spring,0.55,7.61,0.46,8.5,10.88,0.05,13,Chlorination,98.28,18,1,1,10.2,12800,76.09,71.5,91.1,825,12.47,161,20,Low
Nigeria,Central,2005,Pond,3.19,6.69,4.62,6.96,17.77,9.77,568,Boiling,55.92,173,10,16,78.09,1878,34.78,52.27,42.33,977,21.02,247,199,High
Bangladesh,South,2018,Pond,3.2,6.75,6.54,5.7,27.9,7.28,1104,Filtration,77.47,247,15,19,35.88,2915,62.14,38.21,70.41,3253,26.41,1240,281,High
Ethiopia,South,2020,Spring,1.82,6.79,0.28,6.61,13.41,5.05,45,Filtration,54.57,55,3,0,57.74,1306,47.14,30.81,42.85,689,20.16,86,58,Low
Bangladesh,West,2012,Tap,2.74,6.86,2.17,6.87,26.18,4.57,273,None,74.0,87,3,7,35.54,2753,62.62,47.87,68.32,2904,28.67,1155,97,Medium
Brazil,North,2016,Well,1.16,7.1,1.57,8.21,12.7,0.86,80,Chlorination,87.43,29,3,2,18.97,9156,71.12,94.55,88.0,1626,23.66,22,34,Low
China,North,2022,Lake,0.94,7.22,1.31,8.85,12.5,0.65,87,Chlorination,95.67,37,3,4,5.24,14182,74.75,63.86,99.5,863,10.31,136,44,Low
Brazil,East,2008,Pond,2.33,6.61,4.57,6.36,20.28,4.62,857,Boiling,85.84,98,1,9,23.99,8214,76.83,87.61,71.43,2094,24.76,29,108,Medium
USA,North,2016,Well,2.08,7.13,3.91,7.22,14.22,4.96,316,None,86.19,70,6,11,6.8,45558,85.01,72.42,90.44,871,15.02,33,87,Medium
Brazil,West,2001,Spring,0.95,7.18,0.15,7.72,5.76,1.54,11,Chlorination,81.26,9,1,2,17.82,8281,72.44,82.91,87.19,1205,22.84,22,12,Low
USA,East,2018,Well,0.73,6.97,0.29,9.42,10.64,0.4,3,Filtration,95.12,9,0,1,5.25,64097,88.19,94.32,99.5,757,12.68,47,10,Low
USA,East,2018,Lake,1.5,7.45,1.45,8.61,12.91,1.15,101,Boiling,99.7,25,0,2,12.76,57087,86.38,94.36,93.94,563,7.04,45,27,Low
Ethiopia,South,2023,Well,2.52,7.02,1.47,7.59,14.18,7.95,208,Filtration,52.28,151,2,9,68.69,1216,47.76,22.19,40.67,736,22.4,116,162,High
Bangladesh,South,2006,Well,1.52,7.36,1.67,7.67,18.63,5.68,183,Boiling,68.51,79,2,8,43.16,2603,54.68,43.28,71.99,1888,25.24,1034,89,Medium
Nigeria,North,2021,Well,1.95,7.16,0.83,6.71,12.4,5.3,208,Filtration,58.38,76,6,8,76.25,1905,41.11,55.6,47.88,886,20.75,222,90,Medium
Brazil,East,2009,Well,2.33,7.29,4.24,6.7,19.0,4.2,644,None,92.01,121,4,10,25.25,8094,62.43,89.47,80.21,2167,25.67,28,135,High
China,South,2009,River,0.54,7.01,1.05,9.22,13.56,2.87,51,Chlorination,88.85,50,0,3,9.59,12283,82.43,63.15,89.16,834,14.7,230,53,Low
USA,West,2019,Pond,2.16,7.54,1.99,6.53,19.41,3.55,449,Filtration,93.18,80,5,5,6.55,52681,87.16,85.88,92.72,1193,15.32,39,90,Medium
Bangladesh,South,2008,Spring,3.24,7.07,4.61,5.91,27.8,6.48,412,None,67.31,150,11,17,39.83,2350,63.08,42.23,69.07,2812,30.8,1128,178,High
India,South,2016,Lake,2.22,6.73,2.0,7.18,18.24,7.64,357,Filtration,76.29,87,4,12,37.35,2699,50.04,38.4,74.36,1099,28.99,432,103,Medium
Indonesia,East,2014,Spring,1.71,7.56,2.88,6.75,22.55,7.7,587,None,85.82,115,4,7,28.62,4668,58.81,62.29,71.24,2430,28.34,147,126,High
Ethiopia,East,2001,River,2.7,6.96,4.44,6.93,22.12,6.89,604,Boiling,51.43,213,4,28,63.77,1241,45.34,22.43,45.14,666,20.12,104,245,High
Nigeria,Central,2003,River,3.09,7.55,6.4,5.32,20.29,10.92,1495,None,63.32,254,14,26,74.35,2553,46.82,58.05,50.44,1065,24.96,267,294,High
Mexico,West,2018,River,1.83,6.77,2.12,6.44,13.48,3.9,149,Filtration,90.27,68,1,6,22.93,12327,73.45,86.22,89.63,710,24.69,77,75,Medium
